,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
0,2,65,1,"Бишкек, Чокана Валиханова 2/9-2/12",48500,3964026
1,3,116,10,"Бишкек, Военторг, Исанова/Токтогула",112000,9154040
2,1,54,10,"Бишкек, Академия Наук, Шевченко 94-98/Уметалиева",65000,5312613
3,2,41,2,"Бишкек, 9 м-н, Суеркулова 4б",49000,4004893
4,3,60,1,"Бишкек, Азия Молл, Балтагулова 1а/Айтматова",50000,4086625
5,2,42,3,"Бишкек, Военторг, Чуй 140/Тоголок-молдо",50000,4086625
6,3,98,2,"Бишкек, Золотой квадрат, Орозбекова 19/Чокморова",118000,9644435
7,3,145,9,"Бишкек, ЦУМ, Шопокова 99/1",130000,10625225
8,4,95,5,"Бишкек, Джал 15 м-н/Ахунбаева",65000,5312613
9,3,62,1,"Бишкек, 5 м-н, 5 мкрн 3",61500,5026549
0,1,39,6,"Бишкек, Джал 15 м-н",36500,2983236
1,2,54,8,"Бишкек, Средний Джал м-н",47500,3882294
2,2,72,2,"Бишкек, 7 м-н, Сухэ-Батора/А. Токомбаева",63000,5149148
3,4,152,7,"Бишкек, Рыскулова 79Б/Т. Молдо",135000,11033888
4,2,75,5,"Бишкек, Улан м-н, мкрн. Улан (Бот Сад)",77000,6293403
5,2,50,1,"Кант, военный городок 32",38000,3105835
6,1,34,3,"Бишкек, ТЭЦ, кольбаева 16",36000,2942370
7,2,66.1,3,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",44000,3596230
8,3,70,1,"Бишкек, Аламедин-1 м-н, просп. Чуй 42/Ауэзова",60000,4903950
9,3,62,6,"Бишкек, Асанбай м-н",77000,6293403
0,2,60,3,"Бишкек, Тунгуч м-н",51000,4168358
1,2,54.5,1,с. Беш-Кунгей,39500,3228434
2,4,100,4,"Бишкек, Аламедин-1 м-н, Калинина 86",70000,5721275
3,1,41,8,"Бишкек, 12 м-н, 12 мкр., ул А. Токомбаева",31500,2574574
4,1,46,5,"Сокулук, Муромская 29 б/Кипкалова",24500,2002446
5,1,38,8,"Бишкек, Тунгуч м-н, мкр.Тунгуч, Анкара",36000,2942370
6,2,42,4,"Бишкек, Юг-2 м-н",43000,3514498
7,2,71,8,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",80000,6538600
8,3,101,12,"Бишкек, Магистраль, Магистраль/Сухэ Батора",65000,5312613
9,2,76,10,"Бишкек, Московская - Белинка, Турусбекова/Боконбаева",94000,7682855
